epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2547.76,0.60409,0.48028,0.84889,0.95078,0.95727,0.98355,0.84465,0.48447,0.33642,0.80677,3.91816e-05,3.91816e-05,3.91816e-05
41,2610.2,0.53967,0.41006,0.82697,0.95146,0.95753,0.98353,0.84591,0.48154,0.33298,0.80572,3.5776e-05,3.5776e-05,3.5776e-05
42,2672.63,0.52858,0.40087,0.82492,0.95361,0.9598,0.98424,0.84982,0.4703,0.32807,0.80357,3.23704e-05,3.23704e-05,3.23704e-05
43,2735.15,0.52209,0.39536,0.82279,0.95114,0.96173,0.9844,0.85152,0.47001,0.32695,0.80351,2.89648e-05,2.89648e-05,2.89648e-05
44,2797.46,0.51807,0.39386,0.82286,0.95476,0.96132,0.9849,0.85293,0.46524,0.3238,0.80272,2.55592e-05,2.55592e-05,2.55592e-05
45,2859.97,0.51173,0.38997,0.82108,0.95424,0.9608,0.98493,0.85424,0.46352,0.32355,0.8022,2.21536e-05,2.21536e-05,2.21536e-05
46,2922.41,0.50868,0.38667,0.82132,0.95707,0.95864,0.98516,0.85486,0.46087,0.32136,0.80189,1.8748e-05,1.8748e-05,1.8748e-05
47,2984.85,0.50458,0.38266,0.81908,0.95686,0.96006,0.98533,0.85513,0.45905,0.32069,0.80138,1.53424e-05,1.53424e-05,1.53424e-05
48,3047.21,0.50376,0.38126,0.81898,0.9538,0.96322,0.98541,0.85604,0.45774,0.3196,0.80128,1.19368e-05,1.19368e-05,1.19368e-05
49,3109.58,0.49935,0.37984,0.81822,0.95505,0.96278,0.98557,0.85666,0.45706,0.31858,0.80102,8.5312e-06,8.5312e-06,8.5312e-06
50,3172.09,0.49595,0.37693,0.81817,0.95516,0.96437,0.98584,0.85686,0.45597,0.31767,0.80072,5.1256e-06,5.1256e-06,5.1256e-06
