epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.104,0.46983,3.17978,0.8946,0.23487,0.45069,0.27428,0.26011,0.29502,1.4131,0.83772,5.56315e-05,5.56315e-05,5.56315e-05
2,241.641,0.32317,1.39907,0.8499,0.70779,0.7781,0.80101,0.76984,0.2512,0.73709,0.81761,0.00010028,0.00010028,0.00010028
3,327.834,0.28544,0.87259,0.832,0.94301,0.90615,0.96619,0.94389,0.22468,0.43423,0.80165,0.000133906,0.000133906,0.000133906
4,416.011,0.26367,0.62682,0.81953,0.96353,0.94565,0.98373,0.96649,0.20705,0.33749,0.79248,0.000117401,0.000117401,0.000117401
5,509.519,0.24405,0.51605,0.81077,0.97367,0.95407,0.98868,0.97555,0.19146,0.29637,0.78701,0.000100868,0.000100868,0.000100868
6,595.323,0.23277,0.4581,0.80395,0.97462,0.96608,0.99054,0.97831,0.18226,0.26975,0.78415,8.4335e-05,8.4335e-05,8.4335e-05
7,681.297,0.2218,0.41744,0.79975,0.98633,0.96606,0.99212,0.98373,0.17208,0.2486,0.78008,6.7802e-05,6.7802e-05,6.7802e-05
8,767.284,0.21366,0.3864,0.79783,0.98365,0.97461,0.99301,0.98567,0.1678,0.23451,0.77843,5.1269e-05,5.1269e-05,5.1269e-05
9,852.88,0.2063,0.36276,0.79391,0.98286,0.97986,0.99354,0.98624,0.16424,0.22631,0.77749,3.4736e-05,3.4736e-05,3.4736e-05
10,938.77,0.19831,0.3454,0.79188,0.98874,0.97746,0.99374,0.98789,0.15993,0.21791,0.77566,1.8203e-05,1.8203e-05,1.8203e-05
